room_type,percentage,snapshot_date
Entire home/apt,90.13506951313826,"03 March, 2025"
Private room,8.832574953687883,"03 March, 2025"
Hotel room,0.8129350191543319,"03 March, 2025"
Shared room,0.219420514019532,"03 March, 2025"
Entire home/apt,89.95936448722645,"06 December, 2024"
Private room,8.733304466575625,"06 December, 2024"
Hotel room,0.9209605968757285,"06 December, 2024"
Shared room,0.38637044932218634,"06 December, 2024"
Entire home/apt,90.26190829499926,"06 June, 2025"
Private room,8.643715684819705,"06 June, 2025"
Hotel room,0.8458228223772074,"06 June, 2025"
Shared room,0.24855319780382845,"06 June, 2025"
